acl 2.3.1-2
pciutils 3.8.0-1
pcre 8.45-1
pcre2 10.40-1
perl 5.36.0-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
picom-ibhagwan-git 1578_Next.297.gc4107bb_2021.11.03-1
pinentry 1.2.0-1
pixman 0.40.0-2
pkgconf 1.8.0-1
pkgfile 21-2
polkit 0.120-5
polkit-qt5 0.114.0-1
polybar 3.6.3-2
poppler 22.06.0-1
poppler-qt5 22.06.0-1
popt 1.18-3
procps-ng 3.3.17-1
psmisc 23.5-1
pulseaudio 16.0-1
python 3.10.5-1
python-appdirs 1.4.4-6
python-jaraco.context 4.1.1-2
python-jaraco.functools 3.5.0-2
python-jaraco.text 3.8.0-2
python-more-itertools 8.12.0-2
python-nspektr 0.4.0-1
python-ordered-set 4.0.2-6
python-packaging 21.3-1
python-pyparsing 3.0.9-1
python-setuptools 1:60.10.0-1
qt5-base 5.15.4+kde+r164-1
qt5-declarative 5.15.4+kde+r19-1
qt5-multimedia 5.15.4+kde+r1-1
qt5-speech 5.15.4+kde+r1-1
qt5-svg 5.15.4+kde+r10-1
qt5-translations 5.15.4+kde+r2-1
qt5-wayland 5.15.4+kde+r38-1
qt5-x11extras 5.15.4+kde+r0-1
rav1e 0.4.1-2
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
rofi 1.7.3-1
rtkit 0.13-1
rust 1:1.61.0-1
rxvt-unicode 9.26-3
rxvt-unicode-terminfo 9.26-3
sdl2 2.0.22-2
sed 4.8-1
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
slang 2.3.2-2
smbclient 4.16.1-4
solid 5.94.0-1
sonnet 5.94.0-1
sound-theme-freedesktop 0.8-5
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.15.0-1
spotify-tui 0.25.0-2
spotifyd 0.3.3-1
sqlite 3.38.5-1
srt 1.4.4-1
startup-notification 0.12-7
sudo 1.9.11.p1-1
svt-av1 0.9.0-2
syndication 5.94.0-1
syntax-highlighting 5.94.0-1
sysfsutils 2.1.1-1
systemd 251.2-1
systemd-libs 251.2-1
systemd-sysvcompat 251.2-1
taglib 1.12-1
talloc 2.3.4-1
tar 1.34-1
tdb 1.4.7-1
tevent 1:0.12.1-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
tpm2-tss 3.2.0-1
tracker3 3.3.1-1
tree-sitter 0.20.6-1
tslib 1.22-1
ttf-font-awesome 6.1.1-1
ttf-iosevka-nerd 2.1.0-2
tzdata 2022a-1
udisks2 2.9.4-1
unibilium 2.1.1-1
unzip 6.0-18
upower 0.99.19-1
usbmuxd 1.1.1-1
uthash 2.3.0-1
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 8.2.5046-2
vim-plug 0.11.0-1
vim-runtime 8.2.5046-2
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-icd-loader 1.3.213-1
wayland 1.20.0-2
webrtc-audio-processing 0.3.1-3
which 2.21-5
wpa_supplicant 2:2.10-4
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xbitmaps 1.1.2-3
xcb-proto 1.15-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.3-4
xcb-util-image 0.4.0-4
xcb-util-keysyms 0.4.0-4
xcb-util-renderutil 0.3.9-4
xcb-util-wm 0.4.1-4
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-utils 1.1.3+21+g1a58bc2-1
xf86-input-libinput 1.2.1-1
xf86-video-fbdev 0.5.0-3
